Track Number,Popularity,Danceability
1,74,0.613
1,54,0.7
1,14,0.585
1,34,0.676
1,69,0.573
1,66,0.76
1,51,0.799
1,0,0.726
1,49,0.421
1,25,0.638
7,71,0.825
14,54,0.463
1,68,0.483
4,78,0.806
1,52,0.74
1,52,0.571
1,84,0.726
1,56,0.723
1,45,0.745
1,5,0.379
1,60,0.609
1,55,0.632
1,0,0.576
1,72,0.79
1,0,0.664
1,67,0.647
12,21,0.535
1,64,0.529
1,48,0.696
1,82,0.707
5,34,0.813
1,20,0.735
4,74,0.591
3,70,0.667
1,41,0.334
1,76,0.852
7,85,0.808
1,0,0.791
1,66,0.838
1,59,0.657
2,57,0.766
1,79,0.676
1,51,0.862
1,72,0.682
1,56,0.794
1,69,0.687
1,79,0.789
6,86,0.567
1,84,0.448
11,75,0.653
2,92,0.548
3,88,0.676
1,34,0.636
1,1,0.693
1,78,0.605
1,57,0.633
2,85,0.896
4,78,0.724
1,86,0.377
2,19,0.737
1,21,0.513
1,80,0.674
1,0,0.817
13,88,0.459
2,52,0.545
4,54,0.501
6,0,0.814
1,3,0.548
2,48,0.865
1,35,0.711
2,73,0.863
1,65,0.665
1,50,0.695
1,87,0.704
1,72,0.448
1,51,0.634
1,21,0.567
11,0,0.554
2,60,0.521
5,58,0.804
5,81,0.787
9,51,0.748
1,24,0.527
1,65,0.689
1,33,0.498
1,59,0.685
9,0,0.452
1,80,0.794
1,64,0.651
21,38,0.56
16,51,0.67
1,9,0.563
1,28,0.505
1,28,0.573
3,31,0.718
25,18,0.501
1,80,0.464
1,74,0.722
1,46,0.646
1,80,0.598
1,80,0.621
1,82,0.77
1,86,0.598
1,79,0.654
1,0,0.738
1,37,0.714
1,71,0.619
1,65,0.574
1,40,0.53
1,0,0.454
1,31,0.764
1,65,0.774
1,10,0.488
4,4,0.777
1,74,0.899
1,14,0.632
1,0,0.643
1,74,0.737
1,56,0.407
1,39,0.757
12,88,0.755
1,8,0.777
7,41,0.613
14,58,0.593
6,90,0.695
1,22,0.739
9,17,0.6
1,18,0.474
1,1,0.704
1,0,0.742
1,79,0.664
14,85,0.771
5,84,0.292
3,92,0.359
4,88,0.777
2,74,0.453
1,3,0.769
2,67,0.59
1,58,0.53
1,73,0.599
20,8,0.67
1,63,0.692
10,49,0.849
1,23,0.926
1,83,0.88
1,5,0.294
1,74,0.477
3,62,0.672
1,57,0.491
2,78,0.857
7,45,0.715
6,73,0.798
8,40,0.863
3,42,0.654
1,78,0.64
1,69,0.67
1,66,0.631
1,51,0.748
1,22,0.729
1,79,0.693
2,68,0.801
1,81,0.878
9,45,0.363
1,82,0.759
1,76,0.659
1,83,0.759
1,1,0.732
14,9,0.633
11,63,0.555
1,67,0.614
1,1,0.778
1,84,0.842
3,75,0.795
3,76,0.802
2,70,0.592
1,75,0.862
1,53,0.653
1,70,0.647
1,0,0.591
1,26,0.598
1,72,0.77
1,58,0.605
5,70,0.59
1,1,0.505
4,26,0.629
1,1,0.824
1,70,0.631
1,80,0.798
1,0,0.684
1,65,0.826
1,72,0.692
3,16,0.361
1,0,0.614
7,55,0.524
1,66,0.591
13,25,0.713
3,46,0.766
1,37,0.565
7,25,0.744
1,32,0.606
31,44,0.575
1,38,0.738
1,40,0.725
2,86,0.701
5,77,0.726
1,39,0.538
1,35,0.724
4,81,0.682
8,51,0.664
4,0,0.727
6,81,0.551
1,45,0.755
1,0,0.797
1,63,0.785
6,0,0.528
1,76,0.791
1,52,0.614
1,2,0.682
1,81,0.45
1,64,0.65
1,0,0.853
1,7,0.842
14,69,0.567
1,47,0.671
1,0,0.817
1,48,0.578
1,0,0.631
1,68,0.652
2,12,0.567
3,54,0.507
1,16,0.324
1,1,0.6
13,29,0.448
1,65,0.514
10,87,0.778
11,84,0.717
1,70,0.9
1,49,0.57
13,74,0.649
1,80,0.677
9,84,0.655
1,0,0.905
1,0,0.511
1,62,0.588
